"Mod name","Registry name","Entity class name","ID"
"Ancient Beasts","ancientbeasts:ice_crystal","EntityIceCrystal",11
"Ancient Beasts","ancientbeasts:ice_dart","EntityIceDart",4
"Ancient Beasts","ancientbeasts:lil_vessel","EntityLilVessel",17
"Ancient Beasts","ancientbeasts:netherhound","EntityNetherhound",20
"Ancient Beasts","ancientbeasts:owlstack","EntityOwlstack",22
"Ancient Beasts","ancientbeasts:rifted_enderman","EntityRiftedEnderman",23
"Ancient Beasts","ancientbeasts:rifted_pearl","EntityRiftedPearl",24
"Ancient Beasts","ancientbeasts:sand_shot","EntitySandSpit",15
"Ancient Beasts","ancientbeasts:sandy","EntitySandy",1
"Ancient Beasts","ancientbeasts:tornado","EntityTornado",14
"Ancient Beasts","ancientbeasts:v_head","EntityVesselHead",5
"Ancient Beasts","ancientbeasts:vessel","EntityVessel",7
"Ancient Beasts","ancientbeasts:zealot","EntityZealot",3
"Arcane World","arcaneworld:overgrown_sheep","EntityOvergrownSheep",1
"Arcane World","arcaneworld:rift","EntityRift",0
"Artifacts","artifacts:hallow_star","EntityHallowStar",1
"Artifacts","artifacts:mimic","EntityMimic",0
"Astral Sorcery","astralsorcery:entitycrystal","EntityCrystal",2
"Astral Sorcery","astralsorcery:entitycrystaltool","EntityCrystalTool",7
"Astral Sorcery","astralsorcery:entityflare","EntityFlare",3
"Astral Sorcery","astralsorcery:entitygrapplinghook","EntityGrapplingHook",8
"Astral Sorcery","astralsorcery:entityhighlighted","EntityItemHighlighted",0
"Astral Sorcery","astralsorcery:entityilluminationspark","EntityIlluminationSpark",5
"Astral Sorcery","astralsorcery:entityitemdamageresistant","EntityItemExplosionResistant",13
"Astral Sorcery","astralsorcery:entityliquidspark","EntityLiquidSpark",10
"Astral Sorcery","astralsorcery:entitynocturnalspark","EntityNocturnalSpark",6
"Astral Sorcery","astralsorcery:entityobservatoryhelper","EntityObservatoryHelper",11
"Astral Sorcery","astralsorcery:entityshootingstar","EntityShootingStar",12
"Astral Sorcery","astralsorcery:entityspectraltool","EntitySpectralTool",9
"Astral Sorcery","astralsorcery:entitystarburst","EntityStarburst",4
"Astral Sorcery","astralsorcery:entitystardust","EntityItemStardust",1
"Bear With Me","bearwithme:entities/black_bear","EntityBlackBear",2
"Bear With Me","bearwithme:entities/grizzly_bear","EntityGrizzlyBear",1
"Bear With Me","bearwithme:entities/panda_bear","EntityPandaBear",3
"Beasts","beasts:anemone_crawler","EntityAnemoneCrawler",13
"Beasts","beasts:beasts_painting","EntityBeastsPainting",10
"Beasts","beasts:butterfly_fish","EntityButterflyFish",18
"Beasts","beasts:chorus_branchie","EntityChorusBranchie",3
"Beasts","beasts:coconut_bomb","EntityCoconutBomb",7
"Beasts","beasts:coconut_crab","EntityCoconutCrab",1
"Beasts","beasts:coral_branchie","EntityCoralBranchie",2
"Beasts","beasts:falling_coconut","EntityFallingCoconut",11
"Beasts","beasts:giant_garden_eel","EntityGiantGardenEel",8
"Beasts","beasts:hermit_turtle","EntityHermitTurtle",12
"Beasts","beasts:landwhale","EntityLandwhale",6
"Beasts","beasts:legfish","EntityLegfish",14
"Beasts","beasts:pufferfish_dog","EntityPufferfishDog",0
"Beasts","beasts:scallop","EntityScallop",15
"Beasts","beasts:skewer_shrimp","EntitySkewerShrimp",9
"Beasts","beasts:slime_slug","EntitySlimeSlug",17
"Beasts","beasts:thrown_coconut","EntityThrownCoconut",19
"Beasts","beasts:trimola","EntityTrimola",16
"Beasts","beasts:vile_eel","EntityVileEel",5
"Beasts","beasts:wood_branchie","EntityWoodBranchie",4
"Better Animals Plus","betteranimalsplus:badger","EntityBadger",16
"Better Animals Plus","betteranimalsplus:badgerdirt","EntityBadgerDirt",32
"Better Animals Plus","betteranimalsplus:blackbear","EntityBearNeutral",1
"Better Animals Plus","betteranimalsplus:boar","EntityBoar",13
"Better Animals Plus","betteranimalsplus:bobbit_worm","EntityBobbitWorm",25
"Better Animals Plus","betteranimalsplus:brownbear","EntityBear",0
"Better Animals Plus","betteranimalsplus:coyote","EntityCoyote",5
"Better Animals Plus","betteranimalsplus:crab","EntityCrab",19
"Better Animals Plus","betteranimalsplus:deer","EntityDeer",2
"Better Animals Plus","betteranimalsplus:eel_freshwater","EntityFreshwaterEel",27
"Better Animals Plus","betteranimalsplus:eel_saltwater","EntitySaltwaterEel",28
"Better Animals Plus","betteranimalsplus:feralwolf","EntityFeralWolf",4
"Better Animals Plus","betteranimalsplus:fox","EntityFox",6
"Better Animals Plus","betteranimalsplus:goat","EntityGoat",9
"Better Animals Plus","betteranimalsplus:golden_goose_egg","EntityGoldenGooseEgg",37
"Better Animals Plus","betteranimalsplus:goose","EntityGoose",26
"Better Animals Plus","betteranimalsplus:goose_egg","EntityGooseEgg",36
"Better Animals Plus","betteranimalsplus:hirschgeist","EntityHirschgeist",8
"Better Animals Plus","betteranimalsplus:horseshoecrab","EntityHorseshoeCrab",20
"Better Animals Plus","betteranimalsplus:jellyfish","EntityJellyfish",10
"Better Animals Plus","betteranimalsplus:kermodebear","EmptyEntity",33
"Better Animals Plus","betteranimalsplus:lammergeier","EntityLammergeier",3
"Better Animals Plus","betteranimalsplus:lamprey","EntityLamprey",17
"Better Animals Plus","betteranimalsplus:moose","EntityMoose",22
"Better Animals Plus","betteranimalsplus:nautilus","EntityNautilus",18
"Better Animals Plus","betteranimalsplus:pheasant","EntityPheasant",11
"Better Animals Plus","betteranimalsplus:pheasantegg","EntityPheasantEgg",34
"Better Animals Plus","betteranimalsplus:reindeer","EntityReindeer",12
"Better Animals Plus","betteranimalsplus:shark","EntityShark",21
"Better Animals Plus","betteranimalsplus:songbird","EntitySongbird",15
"Better Animals Plus","betteranimalsplus:squirrel","EntitySquirrel",14
"Better Animals Plus","betteranimalsplus:tarantula","EntityTarantula",7
"Better Animals Plus","betteranimalsplus:tarantulahair","EntityTarantulaHair",31
"Better Animals Plus","betteranimalsplus:turkey","EntityTurkey",23
"Better Animals Plus","betteranimalsplus:turkeyegg","EntityTurkeyEgg",35
"Better Animals Plus","betteranimalsplus:walrus","EntityWalrus",30
"Better Animals Plus","betteranimalsplus:whale","EntityWhale",29
"Better Animals Plus","betteranimalsplus:zotzpyre","EntityZotzpyre",24
"Better Nether","betternether:firefly","EntityFirefly",0
"Better With Mods","betterwithmods:bwm_dynamite","EntityDynamite",1
"Better With Mods","betterwithmods:bwm_fishing_hook","EntityHCFishHook",9
"Better With Mods","betterwithmods:bwm_jungle_spider","EntityJungleSpider",11
"Better With Mods","betterwithmods:bwm_mining_charge","EntityMiningCharge",3
"Better With Mods","betterwithmods:bwm_spider_web","EntitySpiderWeb",8
"Better With Mods","betterwithmods:bwm_tentacle","EntityTentacle",10
"Better With Mods","betterwithmods:bwm_urn","EntityUrn",2
"Better With Mods","betterwithmods:entity_broadhead_arrow","EntityBroadheadArrow",5
"Better With Mods","betterwithmods:entity_falling_gourd","EntityFallingGourd",6
"Better With Mods","betterwithmods:entity_sheared_creeper","EntityShearedCreeper",4
"Better With Mods","betterwithmods:extending_rope","EntityExtendingRope",0
"Better With Mods","betterwithmods:falling_block_custom","EntityFallingBlockCustom",7
"Biomes O' Plenty","biomesoplenty:bop_boat","EntityBOPBoat",2
"Biomes O' Plenty","biomesoplenty:mudball","EntityMudball",1
"Biomes O' Plenty","biomesoplenty:wasp","EntityWasp",3
"Botania","botania:babylon_weapon","EntityBabylonWeapon",17
"Botania","botania:corporea_spark","EntityCorporeaSpark",11
"Botania","botania:doppleganger","EntityDoppleganger",5
"Botania","botania:ender_air_bottle","EntityEnderAirBottle",12
"Botania","botania:falling_star","EntityFallingStar",18
"Botania","botania:flame_ring","EntityFlameRing",3
"Botania","botania:magic_landmine","EntityMagicLandmine",6
"Botania","botania:magic_missile","EntityMagicMissile",9
"Botania","botania:mana_burst","EntityManaBurst",0
"Botania","botania:mana_storm","EntityManaStorm",16
"Botania","botania:pink_wither","EntityPinkWither",14
"Botania","botania:pixie","EntityPixie",2
"Botania","botania:player_mover","EntityPlayerMover",15
"Botania","botania:pool_minecart","EntityPoolMinecart",13
"Botania","botania:signal_flare","EntitySignalFlare",1
"Botania","botania:spark","EntitySpark",7
"Botania","botania:thorn_chakram","EntityThornChakram",10
"Botania","botania:thrown_item","EntityThrownItem",8
"Botania","botania:vine_ball","EntityVineBall",4
"Champions","champions:arctic_spark","EntityArcticSpark",2
"Champions","champions:cinder_spark","EntityCinderSpark",3
"Champions","champions:entity_jail","EntityJail",1
"Chococraft 3","chococraft:chocobo","EntityChocobo",0
"Chocolate Quest Repoured Mod","cqrepoured:boar_mage","EntityCQRBoarmage",44
"Chocolate Quest Repoured Mod","cqrepoured:boarman","EntityCQRBoarman",30
"Chocolate Quest Repoured Mod","cqrepoured:bubble_entity","EntityBubble",51
"Chocolate Quest Repoured Mod","cqrepoured:calamity_crystal","EntityCalamityCrystal",63
"Chocolate Quest Repoured Mod","cqrepoured:calamity_spawner","EntityCalamitySpawner",64
"Chocolate Quest Repoured Mod","cqrepoured:colored_lightning_bolt","EntityColoredLightningBolt",53
"Chocolate Quest Repoured Mod","cqrepoured:dummy","EntityCQRDummy",16
"Chocolate Quest Repoured Mod","cqrepoured:dwarf","EntityCQRDwarf",17
"Chocolate Quest Repoured Mod","cqrepoured:electric_field_entity","EntityElectricField",58
"Chocolate Quest Repoured Mod","cqrepoured:end_laser","EntityEndLaser",62
"Chocolate Quest Repoured Mod","cqrepoured:end_targeting_laser","EntityEndLaserTargeting",61
"Chocolate Quest Repoured Mod","cqrepoured:ender_calamity","EntityCQREnderCalamity",59
"Chocolate Quest Repoured Mod","cqrepoured:ender_king","EntityCQREnderKing",60
"Chocolate Quest Repoured Mod","cqrepoured:enderman","EntityCQREnderman",18
"Chocolate Quest Repoured Mod","cqrepoured:exterminator","EntityCQRExterminator",65
"Chocolate Quest Repoured Mod","cqrepoured:exterminator_laser","EntityExterminatorHandLaser",66
"Chocolate Quest Repoured Mod","cqrepoured:flying_skull","EntityFlyingSkullMinion",50
"Chocolate Quest Repoured Mod","cqrepoured:giant_endermite","EntityGiantEndermite",37
"Chocolate Quest Repoured Mod","cqrepoured:giant_silverfish","EntityGiantSilverfishNormal",38
"Chocolate Quest Repoured Mod","cqrepoured:giant_silverfish1","EntityGiantSilverfishRed",39
"Chocolate Quest Repoured Mod","cqrepoured:giant_silverfish2","EntityGiantSilverfishGreen",40
"Chocolate Quest Repoured Mod","cqrepoured:giant_spider","EntityCQRGiantSpider",48
"Chocolate Quest Repoured Mod","cqrepoured:giant_tortoise","EntityCQRGiantTortoise",42
"Chocolate Quest Repoured Mod","cqrepoured:goblin","EntityCQRGoblin",20
"Chocolate Quest Repoured Mod","cqrepoured:golem","EntityCQRGolem",21
"Chocolate Quest Repoured Mod","cqrepoured:gremlin","EntityCQRGremlin",19
"Chocolate Quest Repoured Mod","cqrepoured:human","EntityCQRHuman",22
"Chocolate Quest Repoured Mod","cqrepoured:ice_spike","EntityIceSpike",56
"Chocolate Quest Repoured Mod","cqrepoured:illager","EntityCQRIllager",23
"Chocolate Quest Repoured Mod","cqrepoured:illusion_walker_king","EntityWalkerKingIllusion",52
"Chocolate Quest Repoured Mod","cqrepoured:lich","EntityCQRLich",43
"Chocolate Quest Repoured Mod","cqrepoured:mandril","EntityCQRMandril",26
"Chocolate Quest Repoured Mod","cqrepoured:minotaur","EntityCQRMinotaur",25
"Chocolate Quest Repoured Mod","cqrepoured:mummy","EntityCQRMummy",27
"Chocolate Quest Repoured Mod","cqrepoured:necromancer","EntityCQRNecromancer",45
"Chocolate Quest Repoured Mod","cqrepoured:nether_dragon","EntityCQRNetherDragon",41
"Chocolate Quest Repoured Mod","cqrepoured:npc","EntityCQRNPC",24
"Chocolate Quest Repoured Mod","cqrepoured:ogre","EntityCQROgre",28
"Chocolate Quest Repoured Mod","cqrepoured:orc","EntityCQROrc",29
"Chocolate Quest Repoured Mod","cqrepoured:pirate","EntityCQRPirate",31
"Chocolate Quest Repoured Mod","cqrepoured:pirate_captain","EntityCQRPirateCaptain",47
"Chocolate Quest Repoured Mod","cqrepoured:pirate_parrot","EntityCQRPirateParrot",55
"Chocolate Quest Repoured Mod","cqrepoured:projectile_bubble","ProjectileBubble",10
"Chocolate Quest Repoured Mod","cqrepoured:projectile_bullet","ProjectileBullet",1
"Chocolate Quest Repoured Mod","cqrepoured:projectile_cannon_ball","ProjectileCannonBall",2
"Chocolate Quest Repoured Mod","cqrepoured:projectile_earth_quake","ProjectileEarthQuake",3
"Chocolate Quest Repoured Mod","cqrepoured:projectile_energy_orb","ProjectileEnergyOrb",15
"Chocolate Quest Repoured Mod","cqrepoured:projectile_firewall_part","ProjectileFireWallPart",7
"Chocolate Quest Repoured Mod","cqrepoured:projectile_homing_ender_eye","ProjectileHomingEnderEye",14
"Chocolate Quest Repoured Mod","cqrepoured:projectile_hookshot_hook","ProjectileHookShotHook",8
"Chocolate Quest Repoured Mod","cqrepoured:projectile_hot_fireball","ProjectileHotFireball",11
"Chocolate Quest Repoured Mod","cqrepoured:projectile_poison_spell","ProjectilePoisonSpell",4
"Chocolate Quest Repoured Mod","cqrepoured:projectile_spider_ball","ProjectileSpiderBall",5
"Chocolate Quest Repoured Mod","cqrepoured:projectile_spider_hook","ProjectileSpiderHook",9
"Chocolate Quest Repoured Mod","cqrepoured:projectile_thrown_block","ProjectileThrownBlock",13
"Chocolate Quest Repoured Mod","cqrepoured:projectile_vampiric_spell","ProjectileVampiricSpell",6
"Chocolate Quest Repoured Mod","cqrepoured:projectile_web","ProjectileWeb",12
"Chocolate Quest Repoured Mod","cqrepoured:skeleton","EntityCQRSkeleton",32
"Chocolate Quest Repoured Mod","cqrepoured:slime_part","EntitySlimePart",0
"Chocolate Quest Repoured Mod","cqrepoured:spectre","EntityCQRSpectre",33
"Chocolate Quest Repoured Mod","cqrepoured:spider_egg","EntitySpiderEgg",57
"Chocolate Quest Repoured Mod","cqrepoured:summoning_circle","EntitySummoningCircle",49
"Chocolate Quest Repoured Mod","cqrepoured:triton","EntityCQRTriton",34
"Chocolate Quest Repoured Mod","cqrepoured:walker","EntityCQRWalker",35
"Chocolate Quest Repoured Mod","cqrepoured:walker_king","EntityCQRWalkerKing",46
"Chocolate Quest Repoured Mod","cqrepoured:walker_tornado","EntityWalkerTornado",54
"Chocolate Quest Repoured Mod","cqrepoured:zombie","EntityCQRZombie",36
"CoroUtil Library","coroutil:bat_smart","EntityBatSmart",0
"CustomNPCs","customnpcs:customnpc","EntityCustomNpc",23
"CustomNPCs","customnpcs:customnpc64x32","EntityNPC64x32",24
"CustomNPCs","customnpcs:customnpcalex","EntityNpcAlex",25
"CustomNPCs","customnpcs:customnpcchairmount","EntityChairMount",27
"CustomNPCs","customnpcs:customnpcclassic","EntityNpcClassicPlayer",26
"CustomNPCs","customnpcs:customnpcprojectile","EntityProjectile",28
"CustomNPCs","customnpcs:npccrystal","EntityNpcCrystal",15
"CustomNPCs","customnpcs:npcdragon","EntityNpcDragon",20
"CustomNPCs","customnpcs:npcdwarffemale","EntityNPCDwarfFemale",9
"CustomNPCs","customnpcs:npcdwarfmale","EntityNPCDwarfMale",4
"CustomNPCs","customnpcs:npcelffemale","EntityNPCElfFemale",14
"CustomNPCs","customnpcs:npcelfmale","EntityNPCElfMale",13
"CustomNPCs","customnpcs:npcenderchibi","EntityNpcEnderchibi",16
"CustomNPCs","customnpcs:npcenderman","EntityNPCEnderman",21
"CustomNPCs","customnpcs:npcfurryfemale","EntityNPCFurryFemale",10
"CustomNPCs","customnpcs:npcfurrymale","EntityNPCFurryMale",5
"CustomNPCs","customnpcs:npcgolem","EntityNPCGolem",22
"CustomNPCs","customnpcs:npchumanfemale","EntityNPCHumanFemale",3
"CustomNPCs","customnpcs:npchumanmale","EntityNPCHumanMale",0
"CustomNPCs","customnpcs:npcnagafemale","EntityNpcNagaFemale",18
"CustomNPCs","customnpcs:npcnagamale","EntityNpcNagaMale",17
"CustomNPCs","customnpcs:npcorcfemale","EntityNPCOrcFemale",12
"CustomNPCs","customnpcs:npcorcfmale","EntityNPCOrcMale",11
"CustomNPCs","customnpcs:npcpony","EntityNpcPony",2
"CustomNPCs","customnpcs:npcskeleton","EntityNpcSkeleton",8
"CustomNPCs","customnpcs:npcslime","EntityNpcSlime",19
"CustomNPCs","customnpcs:npcvillager","EntityNPCVillager",1
"CustomNPCs","customnpcs:npczombiefemale","EntityNpcMonsterFemale",7
"CustomNPCs","customnpcs:npczombiemale","EntityNpcMonsterMale",6
"CyclopsTek","cyclopstek:cyclops","EntityCyclops",1
"Davinci's Vessels","davincisvessels:parachute","EntityParachute",3
"Davinci's Vessels","davincisvessels:seat","EntitySeat",2
"Davinci's Vessels","davincisvessels:ship","EntityShip",1
"Dawn Of Time : Builder Edition","dawnoftimebuilder:japanese_dragon","EntityJapaneseDragon",1
"Dawn Of Time : Builder Edition","dawnoftimebuilder:seat","EntitySeat",2
"Dawn Of Time : Builder Edition","dawnoftimebuilder:silkmoth","EntitySilkmoth",0
"Dimensional Doors","dimdoors:mob_monolith","EntityMonolith",0
"DrZhark's Mo'Creatures Mod","mocreatures:anchovy","MoCEntityAnchovy",56
"DrZhark's Mo'Creatures Mod","mocreatures:angelfish","MoCEntityAngelFish",57
"DrZhark's Mo'Creatures Mod","mocreatures:angler","MoCEntityAngler",58
"DrZhark's Mo'Creatures Mod","mocreatures:ant","MoCEntityAnt",73
"DrZhark's Mo'Creatures Mod","mocreatures:bass","MoCEntityBass",59
"DrZhark's Mo'Creatures Mod","mocreatures:bee","MoCEntityBee",74
"DrZhark's Mo'Creatures Mod","mocreatures:biggolem","MoCEntityGolem",45
"DrZhark's Mo'Creatures Mod","mocreatures:bird","MoCEntityBird",6
"DrZhark's Mo'Creatures Mod","mocreatures:blackbear","MoCEntityBlackBear",7
"DrZhark's Mo'Creatures Mod","mocreatures:boar","MoCEntityBoar",8
"DrZhark's Mo'Creatures Mod","mocreatures:bunny","MoCEntityBunny",9
"DrZhark's Mo'Creatures Mod","mocreatures:butterfly","MoCEntityButterfly",75
"DrZhark's Mo'Creatures Mod","mocreatures:caveogre","MoCEntityCaveOgre",41
"DrZhark's Mo'Creatures Mod","mocreatures:clownfish","MoCEntityClownFish",60
"DrZhark's Mo'Creatures Mod","mocreatures:cod","MoCEntityCod",61
"DrZhark's Mo'Creatures Mod","mocreatures:crab","MoCEntityCrab",76
"DrZhark's Mo'Creatures Mod","mocreatures:cricket","MoCEntityCricket",77
"DrZhark's Mo'Creatures Mod","mocreatures:crocodile","MoCEntityCrocodile",10
"DrZhark's Mo'Creatures Mod","mocreatures:deer","MoCEntityDeer",12
"DrZhark's Mo'Creatures Mod","mocreatures:dolphin","MoCEntityDolphin",62
"DrZhark's Mo'Creatures Mod","mocreatures:dragonfly","MoCEntityDragonfly",78
"DrZhark's Mo'Creatures Mod","mocreatures:duck","MoCEntityDuck",11
"DrZhark's Mo'Creatures Mod","mocreatures:egg","MoCEntityEgg",2
"DrZhark's Mo'Creatures Mod","mocreatures:elephant","MoCEntityElephant",13
"DrZhark's Mo'Creatures Mod","mocreatures:ent","MoCEntityEnt",14
"DrZhark's Mo'Creatures Mod","mocreatures:firefly","MoCEntityFirefly",79
"DrZhark's Mo'Creatures Mod","mocreatures:fireogre","MoCEntityFireOgre",43
"DrZhark's Mo'Creatures Mod","mocreatures:fishy","MoCEntityFishy",63
"DrZhark's Mo'Creatures Mod","mocreatures:flamewraith","MoCEntityFlameWraith",42
"DrZhark's Mo'Creatures Mod","mocreatures:fly","MoCEntityFly",80
"DrZhark's Mo'Creatures Mod","mocreatures:fox","MoCEntityFox",15
"DrZhark's Mo'Creatures Mod","mocreatures:goat","MoCEntityGoat",16
"DrZhark's Mo'Creatures Mod","mocreatures:goldfish","MoCEntityGoldFish",64
"DrZhark's Mo'Creatures Mod","mocreatures:greenogre","MoCEntityGreenOgre",44
"DrZhark's Mo'Creatures Mod","mocreatures:grizzlybear","MoCEntityGrizzlyBear",17
"DrZhark's Mo'Creatures Mod","mocreatures:hellrat","MoCEntityHellRat",47
"DrZhark's Mo'Creatures Mod","mocreatures:hippotang","MoCEntityHippoTang",65
"DrZhark's Mo'Creatures Mod","mocreatures:horsemob","MoCEntityHorseMob",46
"DrZhark's Mo'Creatures Mod","mocreatures:jellyfish","MoCEntityJellyFish",66
"DrZhark's Mo'Creatures Mod","mocreatures:kitty","MoCEntityKitty",18
"DrZhark's Mo'Creatures Mod","mocreatures:kittybed","MoCEntityKittyBed",3
"DrZhark's Mo'Creatures Mod","mocreatures:komododragon","MoCEntityKomodo",19
"DrZhark's Mo'Creatures Mod","mocreatures:leoger","MoCEntityLeoger",20
"DrZhark's Mo'Creatures Mod","mocreatures:leopard","MoCEntityLeopard",21
"DrZhark's Mo'Creatures Mod","mocreatures:liard","MoCEntityLiard",22
"DrZhark's Mo'Creatures Mod","mocreatures:liger","MoCEntityLiger",24
"DrZhark's Mo'Creatures Mod","mocreatures:lion","MoCEntityLion",23
"DrZhark's Mo'Creatures Mod","mocreatures:lither","MoCEntityLither",25
"DrZhark's Mo'Creatures Mod","mocreatures:litterbox","MoCEntityLitterBox",4
"DrZhark's Mo'Creatures Mod","mocreatures:maggot","MoCEntityMaggot",81
"DrZhark's Mo'Creatures Mod","mocreatures:manderin","MoCEntityManderin",67
"DrZhark's Mo'Creatures Mod","mocreatures:mantaray","MoCEntityMantaRay",70
"DrZhark's Mo'Creatures Mod","mocreatures:manticore","MoCEntityManticore",48
"DrZhark's Mo'Creatures Mod","mocreatures:manticorepet","MoCEntityManticorePet",0
"DrZhark's Mo'Creatures Mod","mocreatures:minigolem","MoCEntityMiniGolem",49
"DrZhark's Mo'Creatures Mod","mocreatures:mole","MoCEntityMole",26
"DrZhark's Mo'Creatures Mod","mocreatures:mouse","MoCEntityMouse",27
"DrZhark's Mo'Creatures Mod","mocreatures:ostrich","MoCEntityOstrich",28
"DrZhark's Mo'Creatures Mod","mocreatures:pandabear","MoCEntityPandaBear",29
"DrZhark's Mo'Creatures Mod","mocreatures:panthard","MoCEntityPanthard",30
"DrZhark's Mo'Creatures Mod","mocreatures:panther","MoCEntityPanther",31
"DrZhark's Mo'Creatures Mod","mocreatures:panthger","MoCEntityPanthger",32
"DrZhark's Mo'Creatures Mod","mocreatures:petscorpion","MoCEntityPetScorpion",1
"DrZhark's Mo'Creatures Mod","mocreatures:piranha","MoCEntityPiranha",68
"DrZhark's Mo'Creatures Mod","mocreatures:raccoon","MoCEntityRaccoon",34
"DrZhark's Mo'Creatures Mod","mocreatures:rat","MoCEntityRat",50
"DrZhark's Mo'Creatures Mod","mocreatures:roach","MoCEntityRoach",83
"DrZhark's Mo'Creatures Mod","mocreatures:salmon","MoCEntitySalmon",69
"DrZhark's Mo'Creatures Mod","mocreatures:scorpion","MoCEntityScorpion",52
"DrZhark's Mo'Creatures Mod","mocreatures:shark","MoCEntityShark",71
"DrZhark's Mo'Creatures Mod","mocreatures:silverskeleton","MoCEntitySilverSkeleton",51
"DrZhark's Mo'Creatures Mod","mocreatures:snail","MoCEntitySnail",82
"DrZhark's Mo'Creatures Mod","mocreatures:snake","MoCEntitySnake",35
"DrZhark's Mo'Creatures Mod","mocreatures:stingray","MoCEntityStingRay",72
"DrZhark's Mo'Creatures Mod","mocreatures:tiger","MoCEntityTiger",36
"DrZhark's Mo'Creatures Mod","mocreatures:trock","MoCEntityThrowableRock",5
"DrZhark's Mo'Creatures Mod","mocreatures:turkey","MoCEntityTurkey",38
"DrZhark's Mo'Creatures Mod","mocreatures:turtle","MoCEntityTurtle",37
"DrZhark's Mo'Creatures Mod","mocreatures:werewolf","MoCEntityWerewolf",53
"DrZhark's Mo'Creatures Mod","mocreatures:wildhorse","MoCEntityHorse",39
"DrZhark's Mo'Creatures Mod","mocreatures:wildpolarbear","MoCEntityPolarBear",33
"DrZhark's Mo'Creatures Mod","mocreatures:wraith","MoCEntityWraith",54
"DrZhark's Mo'Creatures Mod","mocreatures:wwolf","MoCEntityWWolf",55
