+-------------------------------------+-------------------------------------------------------+--------------------------------------------------------------------------------------------------+------+
| Mod name                            | Registry name                                         | Entity class name                                                                                |   ID |
| Aether II                           | aether:aerwhale                                       | com.gildedgames.aether.common.entities.animals.EntityAerwhale                                    |    5 |
| Aether II                           | aether:bolt                                           | com.gildedgames.aether.common.entities.projectiles.EntityBolt                                    |   34 |
| Aether II                           | aether:burrukai                                       | com.gildedgames.aether.common.entities.animals.EntityBurrukai                                    |   12 |
| Aether II                           | aether:carrion_sprout                                 | com.gildedgames.aether.common.entities.animals.EntityCarrionSprout                               |    2 |
| Aether II                           | aether:cockatrice                                     | com.gildedgames.aether.common.entities.monsters.EntityCockatrice                                 |    3 |
| Aether II                           | aether:daggerfrost_snowball                           | com.gildedgames.aether.common.entities.projectiles.EntityDaggerfrostSnowball                     |   33 |
| Aether II                           | aether:dart                                           | com.gildedgames.aether.common.entities.projectiles.EntityDart                                    |   32 |
| Aether II                           | aether:edison                                         | com.gildedgames.aether.common.entities.characters.EntityEdison                                   |   11 |
| Aether II                           | aether:ethereal_wisp                                  | com.gildedgames.aether.common.entities.companions.EntityEtherealWisp                             |   24 |
| Aether II                           | aether:fangrin                                        | com.gildedgames.aether.common.entities.companions.EntityFangrin                                  |   27 |
| Aether II                           | aether:fleeting_wisp                                  | com.gildedgames.aether.common.entities.companions.EntityFleetingWisp                             |   25 |
| Aether II                           | aether:floating_block                                 | com.gildedgames.aether.common.entities.blocks.EntityFloatingBlock                                |   30 |
| Aether II                           | aether:frostpine_totem                                | com.gildedgames.aether.common.entities.companions.EntityFrostpineTotem                           |   21 |
| Aether II                           | aether:glactrix                                       | com.gildedgames.aether.common.entities.animals.EntityGlactrix                                    |   16 |
| Aether II                           | aether:glitterwing                                    | com.gildedgames.aether.common.entities.animals.EntityGlitterwing                                 |   10 |
| Aether II                           | aether:josediya                                       | com.gildedgames.aether.common.entities.characters.EntityJosediya                                 |   14 |
| Aether II                           | aether:kirrid                                         | com.gildedgames.aether.common.entities.animals.EntityKirrid                                      |    4 |
| Aether II                           | aether:kraisith                                       | com.gildedgames.aether.common.entities.companions.EntityKraisith                                 |   22 |
| Aether II                           | aether:moa                                            | com.gildedgames.aether.common.entities.animals.EntityMoa                                         |   37 |
| Aether II                           | aether:moving_block                                   | com.gildedgames.aether.common.entities.blocks.EntityMovingBlock                                  |   31 |
| Aether II                           | aether:mysterious_figure                              | com.gildedgames.aether.common.entities.characters.EntityMysteriousFigure                         |   17 |
| Aether II                           | aether:necromancer                                    | com.gildedgames.aether.common.entities.characters.EntityNecromancer                              |   13 |
| Aether II                           | aether:nex_spirit                                     | com.gildedgames.aether.common.entities.companions.EntityNexSpirit                                |   28 |
| Aether II                           | aether:parachute                                      | com.gildedgames.aether.common.entities.blocks.EntityParachute                                    |   35 |
| Aether II                           | aether:pink_baby_swet                                 | com.gildedgames.aether.common.entities.companions.EntityPinkBabySwet                             |   29 |
| Aether II                           | aether:shade_of_arkenzus                              | com.gildedgames.aether.common.entities.companions.EntityShadeOfArkenzus                          |   23 |
| Aether II                           | aether:sheepuff                                       | com.gildedgames.aether.common.entities.animals.EntitySheepuff                                    |   20 |
| Aether II                           | aether:skyroot_lizard                                 | com.gildedgames.aether.common.entities.animals.EntitySkyrootLizard                               |   19 |
| Aether II                           | aether:soaring_wisp                                   | com.gildedgames.aether.common.entities.companions.EntitySoaringWisp                              |   26 |
| Aether II                           | aether:swet                                           | com.gildedgames.aether.common.entities.monsters.EntitySwet                                       |    8 |
| Aether II                           | aether:taegore                                        | com.gildedgames.aether.common.entities.animals.EntityTaegore                                     |    9 |
| Aether II                           | aether:tempest                                        | com.gildedgames.aether.common.entities.monsters.EntityTempest                                    |    7 |
| Aether II                           | aether:tivalier                                       | com.gildedgames.aether.common.entities.characters.EntityTivalier                                 |   15 |
| Aether II                           | aether:tnt_present                                    | com.gildedgames.aether.common.entities.projectiles.EntityTNTPresent                              |   36 |
| Aether II                           | aether:varanys                                        | com.gildedgames.aether.common.entities.monsters.EntityVaranys                                    |   18 |
| Aether II                           | aether:zephyr                                         | com.gildedgames.aether.common.entities.monsters.EntityZephyr                                     |    6 |
| AetherWorks                         | aetherworks:entity_arrow                              | v0id.aw.common.entity.AWArrow                                                                    |    0 |
| AetherWorks                         | aetherworks:entity_magma                              | v0id.aw.common.entity.AWMagma                                                                    |    1 |
| Ancient Beasts                      | ancientbeasts:ball                                    | com.unoriginal.ancientbeasts.entity.Entities.EntityBall                                          |    6 |
| Ancient Beasts                      | ancientbeasts:beam                                    | com.unoriginal.ancientbeasts.entity.Entities.EntityBeam                                          |   16 |
| Ancient Beasts                      | ancientbeasts:boulder                                 | com.unoriginal.ancientbeasts.entity.Entities.EntityBoulder                                       |   13 |
| Ancient Beasts                      | ancientbeasts:boulderer                               | com.unoriginal.ancientbeasts.entity.Entities.EntityBoulderer                                     |   21 |
| Ancient Beasts                      | ancientbeasts:damcell                                 | com.unoriginal.ancientbeasts.entity.Entities.EntityDamcell                                       |   18 |
| Ancient Beasts                      | ancientbeasts:damcell_spike                           | com.unoriginal.ancientbeasts.entity.Entities.EntityDamcellSpike                                  |   19 |
| Ancient Beasts                      | ancientbeasts:fake_vessel                             | com.unoriginal.ancientbeasts.entity.Entities.EntityFakeDuplicate                                 |    8 |
| Ancient Beasts                      | ancientbeasts:frost_walker                            | com.unoriginal.ancientbeasts.entity.Entities.EntityFrostWalker                                   |   10 |
| Ancient Beasts                      | ancientbeasts:frostash_fox                            | com.unoriginal.ancientbeasts.entity.Entities.EntityFrostashFox                                   |    9 |
| Ancient Beasts                      | ancientbeasts:ghost                                   | com.unoriginal.ancientbeasts.entity.Entities.EntityGhost                                         |    2 |
| Ancient Beasts                      | ancientbeasts:giant_zombie                            | com.unoriginal.ancientbeasts.entity.Entities.EntityGiant                                         |   12 |
| Ancient Beasts                      | ancientbeasts:ice_crystal                             | com.unoriginal.ancientbeasts.entity.Entities.EntityIceCrystal                                    |   11 |
| Ancient Beasts                      | ancientbeasts:ice_dart                                | com.unoriginal.ancientbeasts.entity.Entities.EntityIceDart                                       |    4 |
| Ancient Beasts                      | ancientbeasts:lil_vessel                              | com.unoriginal.ancientbeasts.entity.Entities.EntityLilVessel                                     |   17 |
| Ancient Beasts                      | ancientbeasts:netherhound                             | com.unoriginal.ancientbeasts.entity.Entities.EntityNetherhound                                   |   20 |
| Ancient Beasts                      | ancientbeasts:owlstack                                | com.unoriginal.ancientbeasts.entity.Entities.EntityOwlstack                                      |   22 |
| Ancient Beasts                      | ancientbeasts:rifted_enderman                         | com.unoriginal.ancientbeasts.entity.Entities.EntityRiftedEnderman                                |   23 |
| Ancient Beasts                      | ancientbeasts:rifted_pearl                            | com.unoriginal.ancientbeasts.entity.Entities.EntityRiftedPearl                                   |   24 |
| Ancient Beasts                      | ancientbeasts:sand_shot                               | com.unoriginal.ancientbeasts.entity.Entities.EntitySandSpit                                      |   15 |
| Ancient Beasts                      | ancientbeasts:sandy                                   | com.unoriginal.ancientbeasts.entity.Entities.EntitySandy                                         |    1 |
| Ancient Beasts                      | ancientbeasts:tornado                                 | com.unoriginal.ancientbeasts.entity.Entities.EntityTornado                                       |   14 |
| Ancient Beasts                      | ancientbeasts:v_head                                  | com.unoriginal.ancientbeasts.entity.Entities.EntityVesselHead                                    |    5 |
| Ancient Beasts                      | ancientbeasts:vessel                                  | com.unoriginal.ancientbeasts.entity.Entities.EntityVessel                                        |    7 |
| Ancient Beasts                      | ancientbeasts:zealot                                  | com.unoriginal.ancientbeasts.entity.Entities.EntityZealot                                        |    3 |
| Arcane World                        | arcaneworld:overgrown_sheep                           | party.lemons.arcaneworld.entity.EntityOvergrownSheep                                             |    1 |
| Arcane World                        | arcaneworld:rift                                      | party.lemons.arcaneworld.entity.EntityRift                                                       |    0 |
| Artifacts                           | artifacts:hallow_star                                 | artifacts.common.entity.EntityHallowStar                                                         |    1 |
| Artifacts                           | artifacts:mimic                                       | artifacts.common.entity.EntityMimic                                                              |    0 |
| Astral Sorcery                      | astralsorcery:entitycrystal                           | hellfirepvp.astralsorcery.common.entities.EntityCrystal                                          |    2 |
| Astral Sorcery                      | astralsorcery:entitycrystaltool                       | hellfirepvp.astralsorcery.common.entities.EntityCrystalTool                                      |    7 |
| Astral Sorcery                      | astralsorcery:entityflare                             | hellfirepvp.astralsorcery.common.entities.EntityFlare                                            |    3 |
| Astral Sorcery                      | astralsorcery:entitygrapplinghook                     | hellfirepvp.astralsorcery.common.entities.EntityGrapplingHook                                    |    8 |
| Astral Sorcery                      | astralsorcery:entityhighlighted                       | hellfirepvp.astralsorcery.common.entities.EntityItemHighlighted                                  |    0 |
| Astral Sorcery                      | astralsorcery:entityilluminationspark                 | hellfirepvp.astralsorcery.common.entities.EntityIlluminationSpark                                |    5 |
| Astral Sorcery                      | astralsorcery:entityitemdamageresistant               | hellfirepvp.astralsorcery.common.entities.EntityItemExplosionResistant                           |   13 |
| Astral Sorcery                      | astralsorcery:entityliquidspark                       | hellfirepvp.astralsorcery.common.entities.EntityLiquidSpark                                      |   10 |
| Astral Sorcery                      | astralsorcery:entitynocturnalspark                    | hellfirepvp.astralsorcery.common.entities.EntityNocturnalSpark                                   |    6 |
| Astral Sorcery                      | astralsorcery:entityobservatoryhelper                 | hellfirepvp.astralsorcery.common.entities.EntityObservatoryHelper                                |   11 |
| Astral Sorcery                      | astralsorcery:entityshootingstar                      | hellfirepvp.astralsorcery.common.entities.EntityShootingStar                                     |   12 |
| Astral Sorcery                      | astralsorcery:entityspectraltool                      | hellfirepvp.astralsorcery.common.entities.EntitySpectralTool                                     |    9 |
| Astral Sorcery                      | astralsorcery:entitystarburst                         | hellfirepvp.astralsorcery.common.entities.EntityStarburst                                        |    4 |
| Astral Sorcery                      | astralsorcery:entitystardust                          | hellfirepvp.astralsorcery.common.entities.EntityItemStardust                                     |    1 |
| Bear With Me                        | bearwithme:entities/black_bear                        | com.mrtrollnugnug.bearwithme.common.entity.EntityBlackBear                                       |    2 |
| Bear With Me                        | bearwithme:entities/grizzly_bear                      | com.mrtrollnugnug.bearwithme.common.entity.EntityGrizzlyBear                                     |    1 |
| Bear With Me                        | bearwithme:entities/panda_bear                        | com.mrtrollnugnug.bearwithme.common.entity.EntityPandaBear                                       |    3 |
| Beasts                              | beasts:anemone_crawler                                | random.beasts.common.entity.passive.EntityAnemoneCrawler                                         |   13 |
| Beasts                              | beasts:beasts_painting                                | random.beasts.common.entity.item.EntityBeastsPainting                                            |   10 |
| Beasts                              | beasts:butterfly_fish                                 | random.beasts.common.entity.passive.EntityButterflyFish                                          |   18 |
| Beasts                              | beasts:chorus_branchie                                | random.beasts.common.entity.monster.EntityChorusBranchie                                         |    3 |
| Beasts                              | beasts:coconut_bomb                                   | random.beasts.common.entity.projectile.EntityCoconutBomb                                         |    7 |
| Beasts                              | beasts:coconut_crab                                   | random.beasts.common.entity.monster.EntityCoconutCrab                                            |    1 |
| Beasts                              | beasts:coral_branchie                                 | random.beasts.common.entity.monster.EntityCoralBranchie                                          |    2 |
| Beasts                              | beasts:falling_coconut                                | random.beasts.common.entity.item.EntityFallingCoconut                                            |   11 |
| Beasts                              | beasts:giant_garden_eel                               | random.beasts.common.entity.monster.EntityGiantGardenEel                                         |    8 |
| Beasts                              | beasts:hermit_turtle                                  | random.beasts.common.entity.passive.EntityHermitTurtle                                           |   12 |
| Beasts                              | beasts:landwhale                                      | random.beasts.common.entity.passive.EntityLandwhale                                              |    6 |
| Beasts                              | beasts:legfish                                        | random.beasts.common.entity.passive.EntityLegfish                                                |   14 |
| Beasts                              | beasts:pufferfish_dog                                 | random.beasts.common.entity.passive.EntityPufferfishDog                                          |    0 |
| Beasts                              | beasts:scallop                                        | random.beasts.common.entity.monster.EntityScallop                                                |   15 |
| Beasts                              | beasts:skewer_shrimp                                  | random.beasts.common.entity.monster.EntitySkewerShrimp                                           |    9 |
| Beasts                              | beasts:slime_slug                                     | random.beasts.common.entity.passive.EntitySlimeSlug                                              |   17 |
| Beasts                              | beasts:thrown_coconut                                 | random.beasts.common.entity.item.EntityThrownCoconut                                             |   19 |
| Beasts                              | beasts:trimola                                        | random.beasts.common.entity.monster.EntityTrimola                                                |   16 |
| Beasts                              | beasts:vile_eel                                       | random.beasts.common.entity.monster.EntityVileEel                                                |    5 |
| Beasts                              | beasts:wood_branchie                                  | random.beasts.common.entity.monster.EntityWoodBranchie                                           |    4 |
| Better Animals Plus                 | betteranimalsplus:badger                              | its_meow.betteranimalsplus.common.entity.EntityBadger                                            |   16 |
| Better Animals Plus                 | betteranimalsplus:badgerdirt                          | its_meow.betteranimalsplus.common.entity.projectile.EntityBadgerDirt                             |   32 |
| Better Animals Plus                 | betteranimalsplus:blackbear                           | its_meow.betteranimalsplus.common.entity.EntityBearNeutral                                       |    1 |
| Better Animals Plus                 | betteranimalsplus:boar                                | its_meow.betteranimalsplus.common.entity.EntityBoar                                              |   13 |
| Better Animals Plus                 | betteranimalsplus:bobbit_worm                         | its_meow.betteranimalsplus.common.entity.EntityBobbitWorm                                        |   25 |
| Better Animals Plus                 | betteranimalsplus:brownbear                           | its_meow.betteranimalsplus.common.entity.EntityBear                                              |    0 |
| Better Animals Plus                 | betteranimalsplus:coyote                              | its_meow.betteranimalsplus.common.entity.EntityCoyote                                            |    5 |
| Better Animals Plus                 | betteranimalsplus:crab                                | its_meow.betteranimalsplus.common.entity.EntityCrab                                              |   19 |
| Better Animals Plus                 | betteranimalsplus:deer                                | its_meow.betteranimalsplus.common.entity.EntityDeer                                              |    2 |
| Better Animals Plus                 | betteranimalsplus:eel_freshwater                      | its_meow.betteranimalsplus.common.entity.EntityFreshwaterEel                                     |   27 |
| Better Animals Plus                 | betteranimalsplus:eel_saltwater                       | its_meow.betteranimalsplus.common.entity.EntitySaltwaterEel                                      |   28 |
| Better Animals Plus                 | betteranimalsplus:feralwolf                           | its_meow.betteranimalsplus.common.entity.EntityFeralWolf                                         |    4 |
| Better Animals Plus                 | betteranimalsplus:fox                                 | its_meow.betteranimalsplus.common.entity.EntityFox                                               |    6 |
| Better Animals Plus                 | betteranimalsplus:goat                                | its_meow.betteranimalsplus.common.entity.EntityGoat                                              |    9 |
| Better Animals Plus                 | betteranimalsplus:golden_goose_egg                    | its_meow.betteranimalsplus.common.entity.projectile.EntityGoldenGooseEgg                         |   37 |
| Better Animals Plus                 | betteranimalsplus:goose                               | its_meow.betteranimalsplus.common.entity.EntityGoose                                             |   26 |
| Better Animals Plus                 | betteranimalsplus:goose_egg                           | its_meow.betteranimalsplus.common.entity.projectile.EntityGooseEgg                               |   36 |
| Better Animals Plus                 | betteranimalsplus:hirschgeist                         | its_meow.betteranimalsplus.common.entity.miniboss.hirschgeist.EntityHirschgeist                  |    8 |
| Better Animals Plus                 | betteranimalsplus:horseshoecrab                       | its_meow.betteranimalsplus.common.entity.EntityHorseshoeCrab                                     |   20 |
| Better Animals Plus                 | betteranimalsplus:jellyfish                           | its_meow.betteranimalsplus.common.entity.EntityJellyfish                                         |   10 |
| Better Animals Plus                 | betteranimalsplus:kermodebear                         | its_meow.betteranimalsplus.common.entity.EmptyEntity                                             |   33 |
| Better Animals Plus                 | betteranimalsplus:lammergeier                         | its_meow.betteranimalsplus.common.entity.EntityLammergeier                                       |    3 |
| Better Animals Plus                 | betteranimalsplus:lamprey                             | its_meow.betteranimalsplus.common.entity.EntityLamprey                                           |   17 |
| Better Animals Plus                 | betteranimalsplus:moose                               | its_meow.betteranimalsplus.common.entity.EntityMoose                                             |   22 |
| Better Animals Plus                 | betteranimalsplus:nautilus                            | its_meow.betteranimalsplus.common.entity.EntityNautilus                                          |   18 |
| Better Animals Plus                 | betteranimalsplus:pheasant                            | its_meow.betteranimalsplus.common.entity.EntityPheasant                                          |   11 |
| Better Animals Plus                 | betteranimalsplus:pheasantegg                         | its_meow.betteranimalsplus.common.entity.projectile.EntityPheasantEgg                            |   34 |
| Better Animals Plus                 | betteranimalsplus:reindeer                            | its_meow.betteranimalsplus.common.entity.EntityReindeer                                          |   12 |
| Better Animals Plus                 | betteranimalsplus:shark                               | its_meow.betteranimalsplus.common.entity.EntityShark                                             |   21 |
| Better Animals Plus                 | betteranimalsplus:songbird                            | its_meow.betteranimalsplus.common.entity.EntitySongbird                                          |   15 |
| Better Animals Plus                 | betteranimalsplus:squirrel                            | its_meow.betteranimalsplus.common.entity.EntitySquirrel                                          |   14 |
| Better Animals Plus                 | betteranimalsplus:tarantula                           | its_meow.betteranimalsplus.common.entity.EntityTarantula                                         |    7 |
| Better Animals Plus                 | betteranimalsplus:tarantulahair                       | its_meow.betteranimalsplus.common.entity.projectile.EntityTarantulaHair                          |   31 |
| Better Animals Plus                 | betteranimalsplus:turkey                              | its_meow.betteranimalsplus.common.entity.EntityTurkey                                            |   23 |
| Better Animals Plus                 | betteranimalsplus:turkeyegg                           | its_meow.betteranimalsplus.common.entity.projectile.EntityTurkeyEgg                              |   35 |
| Better Animals Plus                 | betteranimalsplus:walrus                              | its_meow.betteranimalsplus.common.entity.EntityWalrus                                            |   30 |
| Better Animals Plus                 | betteranimalsplus:whale                               | its_meow.betteranimalsplus.common.entity.EntityWhale                                             |   29 |
| Better Animals Plus                 | betteranimalsplus:zotzpyre                            | its_meow.betteranimalsplus.common.entity.EntityZotzpyre                                          |   24 |
| Better Nether                       | betternether:firefly                                  | paulevs.betternether.entities.EntityFirefly                                                      |    0 |
| Better With Mods                    | betterwithmods:bwm_dynamite                           | betterwithmods.common.entity.EntityDynamite                                                      |    1 |
| Better With Mods                    | betterwithmods:bwm_fishing_hook                       | betterwithmods.common.entity.EntityHCFishHook                                                    |    9 |
| Better With Mods                    | betterwithmods:bwm_jungle_spider                      | betterwithmods.common.entity.EntityJungleSpider                                                  |   11 |
| Better With Mods                    | betterwithmods:bwm_mining_charge                      | betterwithmods.common.entity.EntityMiningCharge                                                  |    3 |
| Better With Mods                    | betterwithmods:bwm_spider_web                         | betterwithmods.common.entity.EntitySpiderWeb                                                     |    8 |
| Better With Mods                    | betterwithmods:bwm_tentacle                           | betterwithmods.module.hardcore.creatures.EntityTentacle                                          |   10 |
| Better With Mods                    | betterwithmods:bwm_urn                                | betterwithmods.common.entity.EntityUrn                                                           |    2 |
| Better With Mods                    | betterwithmods:entity_broadhead_arrow                 | betterwithmods.common.entity.EntityBroadheadArrow                                                |    5 |
| Better With Mods                    | betterwithmods:entity_falling_gourd                   | betterwithmods.common.entity.EntityFallingGourd                                                  |    6 |
| Better With Mods                    | betterwithmods:entity_sheared_creeper                 | betterwithmods.common.entity.EntityShearedCreeper                                                |    4 |
| Better With Mods                    | betterwithmods:extending_rope                         | betterwithmods.common.entity.EntityExtendingRope                                                 |    0 |
| Better With Mods                    | betterwithmods:falling_block_custom                   | betterwithmods.common.entity.item.EntityFallingBlockCustom                                       |    7 |
| Biomes O' Plenty                    | biomesoplenty:bop_boat                                | biomesoplenty.common.entities.item.EntityBOPBoat                                                 |    2 |
| Biomes O' Plenty                    | biomesoplenty:mudball                                 | biomesoplenty.common.entities.projectiles.EntityMudball                                          |    1 |
| Biomes O' Plenty                    | biomesoplenty:wasp                                    | biomesoplenty.common.entities.EntityWasp                                                         |    3 |
| Botania                             | botania:babylon_weapon                                | vazkii.botania.common.entity.EntityBabylonWeapon                                                 |   17 |
| Botania                             | botania:corporea_spark                                | vazkii.botania.common.entity.EntityCorporeaSpark                                                 |   11 |
| Botania                             | botania:doppleganger                                  | vazkii.botania.common.entity.EntityDoppleganger                                                  |    5 |
| Botania                             | botania:ender_air_bottle                              | vazkii.botania.common.entity.EntityEnderAirBottle                                                |   12 |
| Botania                             | botania:falling_star                                  | vazkii.botania.common.entity.EntityFallingStar                                                   |   18 |
| Botania                             | botania:flame_ring                                    | vazkii.botania.common.entity.EntityFlameRing                                                     |    3 |
| Botania                             | botania:magic_landmine                                | vazkii.botania.common.entity.EntityMagicLandmine                                                 |    6 |
| Botania                             | botania:magic_missile                                 | vazkii.botania.common.entity.EntityMagicMissile                                                  |    9 |
| Botania                             | botania:mana_burst                                    | vazkii.botania.common.entity.EntityManaBurst                                                     |    0 |
| Botania                             | botania:mana_storm                                    | vazkii.botania.common.entity.EntityManaStorm                                                     |   16 |
| Botania                             | botania:pink_wither                                   | vazkii.botania.common.entity.EntityPinkWither                                                    |   14 |
| Botania                             | botania:pixie                                         | vazkii.botania.common.entity.EntityPixie                                                         |    2 |
| Botania                             | botania:player_mover                                  | vazkii.botania.common.block.tile.TileLightRelay$EntityPlayerMover                                |   15 |
| Botania                             | botania:pool_minecart                                 | vazkii.botania.common.entity.EntityPoolMinecart                                                  |   13 |
| Botania                             | botania:signal_flare                                  | vazkii.botania.common.entity.EntitySignalFlare                                                   |    1 |
| Botania                             | botania:spark                                         | vazkii.botania.common.entity.EntitySpark                                                         |    7 |
| Botania                             | botania:thorn_chakram                                 | vazkii.botania.common.entity.EntityThornChakram                                                  |   10 |
| Botania                             | botania:thrown_item                                   | vazkii.botania.common.entity.EntityThrownItem                                                    |    8 |
| Botania                             | botania:vine_ball                                     | vazkii.botania.common.entity.EntityVineBall                                                      |    4 |
| Champions                           | champions:arctic_spark                                | c4.champions.common.entity.EntityArcticSpark                                                     |    2 |
| Champions                           | champions:cinder_spark                                | c4.champions.common.entity.EntityCinderSpark                                                     |    3 |
| Champions                           | champions:entity_jail                                 | c4.champions.common.entity.EntityJail                                                            |    1 |
| Chococraft 3                        | chococraft:chocobo                                    | net.chococraft.common.entities.EntityChocobo                                                     |    0 |
| Chocolate Quest Repoured Mod        | cqrepoured:boar_mage                                  | team.cqr.cqrepoured.objects.entity.boss.EntityCQRBoarmage                                        |   44 |
| Chocolate Quest Repoured Mod        | cqrepoured:boarman                                    | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRBoarman                                         |   30 |
| Chocolate Quest Repoured Mod        | cqrepoured:bubble_entity                              | team.cqr.cqrepoured.objects.entity.misc.EntityBubble                                             |   51 |
| Chocolate Quest Repoured Mod        | cqrepoured:calamity_crystal                           | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityCalamityCrystal                      |   63 |
| Chocolate Quest Repoured Mod        | cqrepoured:calamity_spawner                           | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityCalamitySpawner                      |   64 |
| Chocolate Quest Repoured Mod        | cqrepoured:colored_lightning_bolt                     | team.cqr.cqrepoured.objects.entity.misc.EntityColoredLightningBolt                               |   53 |
| Chocolate Quest Repoured Mod        | cqrepoured:dummy                                      | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRDummy                                           |   16 |
| Chocolate Quest Repoured Mod        | cqrepoured:dwarf                                      | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRDwarf                                           |   17 |
| Chocolate Quest Repoured Mod        | cqrepoured:electric_field_entity                      | team.cqr.cqrepoured.objects.entity.misc.EntityElectricField                                      |   58 |
| Chocolate Quest Repoured Mod        | cqrepoured:end_laser                                  | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityEndLaser                             |   62 |
| Chocolate Quest Repoured Mod        | cqrepoured:end_targeting_laser                        | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityEndLaserTargeting                    |   61 |
| Chocolate Quest Repoured Mod        | cqrepoured:ender_calamity                             | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityCQREnderCalamity                     |   59 |
| Chocolate Quest Repoured Mod        | cqrepoured:ender_king                                 | team.cqr.cqrepoured.objects.entity.boss.endercalamity.EntityCQREnderKing                         |   60 |
| Chocolate Quest Repoured Mod        | cqrepoured:enderman                                   | team.cqr.cqrepoured.objects.entity.mobs.EntityCQREnderman                                        |   18 |
| Chocolate Quest Repoured Mod        | cqrepoured:exterminator                               | team.cqr.cqrepoured.objects.entity.boss.exterminator.EntityCQRExterminator                       |   65 |
| Chocolate Quest Repoured Mod        | cqrepoured:exterminator_laser                         | team.cqr.cqrepoured.objects.entity.boss.exterminator.EntityExterminatorHandLaser                 |   66 |
| Chocolate Quest Repoured Mod        | cqrepoured:flying_skull                               | team.cqr.cqrepoured.objects.entity.misc.EntityFlyingSkullMinion                                  |   50 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_endermite                            | team.cqr.cqrepoured.objects.mounts.EntityGiantEndermite                                          |   37 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_silverfish                           | team.cqr.cqrepoured.objects.mounts.EntityGiantSilverfishNormal                                   |   38 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_silverfish1                          | team.cqr.cqrepoured.objects.mounts.EntityGiantSilverfishRed                                      |   39 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_silverfish2                          | team.cqr.cqrepoured.objects.mounts.EntityGiantSilverfishGreen                                    |   40 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_spider                               | team.cqr.cqrepoured.objects.entity.boss.EntityCQRGiantSpider                                     |   48 |
| Chocolate Quest Repoured Mod        | cqrepoured:giant_tortoise                             | team.cqr.cqrepoured.objects.entity.boss.gianttortoise.EntityCQRGiantTortoise                     |   42 |
| Chocolate Quest Repoured Mod        | cqrepoured:goblin                                     | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRGoblin                                          |   20 |
| Chocolate Quest Repoured Mod        | cqrepoured:golem                                      | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRGolem                                           |   21 |
| Chocolate Quest Repoured Mod        | cqrepoured:gremlin                                    | team.cqr.cqrepoured.objects.entity.mobs.EntityCQRGremlin                                         |   19 |
